V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
58362 2014 9 3 10076 10089 10053 241 266 227 267 89 70 646 32766 34 29 56 15 78 14 9 
58362 2014 9 4 10099 10110 10087 237 280 208 238 82 54 34 32766 29 24 39 13 67 14 56 
58362 2014 9 5 10104 10118 10089 255 291 213 247 77 58 0 32766 32 25 54 5 90 5 81 
58362 2014 9 6 10106 10119 10094 260 291 244 261 78 61 32700 32766 38 28 43 4 70 4 61 
58362 2014 9 7 10093 10109 10075 256 291 232 259 80 61 0 32766 33 20 37 4 67 4 66 
58362 2014 9 8 10082 10095 10068 255 291 225 245 76 54 32700 32766 32 18 31 4 50 3 22 
58362 2014 9 9 10084 10094 10073 261 291 244 248 74 58 0 32766 43 23 51 4 70 4 30 
58362 2014 9 10 10110 10126 10085 251 267 241 252 79 71 32700 32766 27 28 50 4 74 4 0 
58362 2014 9 11 10123 10136 10110 246 265 230 213 69 56 0 32766 41 32 42 4 64 4 29 
58362 2014 9 12 10086 10123 10060 247 260 237 244 78 68 1 32766 25 21 43 6 76 6 0 
58362 2014 9 13 10099 10121 10069 231 250 220 250 89 78 59 32766 20 34 53 4 88 3 0 
58362 2014 9 14 10125 10135 10111 246 270 232 240 78 63 0 32766 32 35 55 4 91 4 76 
58362 2014 9 15 10138 10149 10126 242 269 231 223 74 58 0 32766 47 36 52 4 86 3 86 
58362 2014 9 16 10148 10161 10138 242 269 222 225 75 62 0 32766 34 31 45 5 85 5 23 
58362 2014 9 17 10153 10165 10144 246 264 236 209 68 58 0 32766 39 35 52 4 84 4 13 
58362 2014 9 18 10159 10172 10148 217 238 199 204 79 61 45 32766 34 22 56 4 98 4 0 
58362 2014 9 19 10133 10165 10116 201 216 188 186 80 51 50 32766 29 12 33 2 60 1 0 
58362 2014 9 20 10113 10129 10103 216 253 182 216 84 64 0 32766 23 23 49 4 87 4 59 
